"uid","city_name","offense_code","offense_type","date_single","address","longitude","latitude","location_type","location_category","fips_state","fips_county","tract","block_group","block"
2988313,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-21 10:10:00,"001XX N PARKSIDE AVE",-87.766614,41.883264,"private vehicle","vehicle",17,"031","252000",2,2001
2989951,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-23 14:06:00,"075XX S ELLIS AVE",-87.600499,41.758047,"street","street",17,"031","691500",2,2009
2990210,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-23 20:57:00,"002XX E 35TH ST",-87.620211,41.831073,"street","street",17,"031","839600",2,2002
2990358,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-24 00:49:00,"004XX W 75TH ST",-87.634878,41.758069,"street","street",17,"031","691200",1,1004
2991074,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-25 00:35:00,"014XX S LAWNDALE AVE",-87.717731,41.861972,"private vehicle","vehicle",17,"031","838700",4,4001
2991557,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-25 17:25:00,"059XX N RIDGE AVE",-87.670508,41.989958,"other retail","retail",17,"031","030400",1,1007
2991943,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-26 07:00:00,"026XX W 87TH ST",-87.688879,41.735421,"residence","residence",17,"031","700502",1,1030
2992671,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-27 04:08:00,"045XX S HERMITAGE AVE",-87.668698,41.811531,"private vehicle","vehicle",17,"031","610400",1,1006
2992907,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-27 14:20:00,"026XX W 51ST ST",-87.689707,41.801061,"street","street",17,"031","630500",4,4000
2993095,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-27 19:43:00,"073XX S DORCHESTER AVE",-87.590883,41.761822,"residence","residence",17,"031","430400",3,3006
2993693,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-28 14:38:00,"099XX S STATE ST",-87.623656,41.713771,"street","street",17,"031","490700",1,1000
2994182,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-29 04:11:00,"019XX N ROCKWELL ST",-87.692269,41.916293,"street","street",17,"031","832400",1,1014
2994872,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-30 02:28:00,"043XX W FLOURNOY ST",-87.733474,41.872459,"residence","residence",17,"031","261000",1,1035
2995527,"Chicago","09A","murder and nonnegligent manslaughter",2015-06-30 23:38:00,"111XX S HAMLET AVE",-87.660044,41.691308,"private vehicle","vehicle",17,"031","750600",4,4001
2996282,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-01 22:18:00,"036XX W 16TH ST",-87.716809,41.858954,"street","street",17,"031","292200",2,2003
2996895,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-02 19:30:00,"132XX S GREENWOOD AVE",-87.59498,41.655896,"private vehicle","vehicle",17,"031","540101",4,4010
2996973,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-02 21:06:00,"027XX S KARLOV AVE",-87.726918,41.841917,"street","street",17,"031","301803",1,1003
2997119,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-03 01:00:00,"048XX S JUSTINE ST",-87.663677,41.805824,"residence","residence",17,"031","611200",2,2006
2997124,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-03 01:20:00,"091XX S ASHLAND AVE",-87.662827,41.727527,"street","street",17,"031","730201",4,4020
2997576,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-03 17:31:00,"043XX S CALUMET AVE",-87.618327,41.815751,"green space","open space",17,"031","835800",1,1003
2998324,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-04 16:00:00,"083XX S DREXEL AVE",-87.60258,41.743299,"residence","residence",17,"031","440102",3,3001
2998325,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-04 16:00:00,"083XX S DREXEL AVE",-87.60258,41.743299,"residence","residence",17,"031","440102",3,3001
2998326,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-04 16:00:00,"083XX S DREXEL AVE",-87.60258,41.743299,"residence","residence",17,"031","440102",3,3001
2998327,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-04 16:00:00,"083XX S DREXEL AVE",-87.60258,41.743299,"residence","residence",17,"031","440102",3,3001
2998784,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-05 01:19:00,"077XX S SOUTH SHORE DR",-87.552716,41.75633,"private vehicle","vehicle",17,"031","431400",3,3006
2998815,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-05 01:56:00,"011XX N HARDING AVE",-87.725044,41.901427,"street","street",17,"031","231200",5,5007
2998923,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-05 04:04:00,"044XX N KIMBALL AVE",-87.713172,41.962126,"street","street",17,"031","140702",2,2009
2998946,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-05 05:00:00,"011XX S FRANCISCO AVE",-87.698377,41.867608,"street","street",17,"031","838600",2,2008
2998970,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-05 06:10:00,"088XX S BISHOP ST",-87.659339,41.733163,"private vehicle","vehicle",17,"031","711400",1,1017
2998977,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-05 07:00:00,"088XX S BISHOP ST",-87.659339,41.733163,"private vehicle","vehicle",17,"031","711400",1,1017
2999281,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-05 17:00:00,"092XX S HARPER AVE",-87.586697,41.727044,"street","street",17,"031","480300",2,2014
3000057,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-06 17:32:00,"080XX S PAXTON AVE",-87.571069,41.749321,"street","street",17,"031","460500",6,6000
3000505,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-07 10:51:00,"020XX E 79TH ST",-87.575286,41.751613,"street","street",17,"031","460500",7,7003
3001056,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-08 03:09:00,"032XX W HURON ST",-87.708101,41.89371,"street","street",17,"031","836700",1,1006
3001437,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-08 17:31:00,"080XX S DR MARTIN LUTHER KING JR DR",-87.614907,41.748835,"vehicle parking","open space",17,"031","440201",4,4008
3002253,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-09 21:58:00,"052XX S EMERALD AVE",-87.644064,41.799031,"street","street",17,"031","843800",2,2011
3002283,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-09 22:24:00,"066XX S BLACKSTONE AVE",-87.588833,41.774921,"street","street",17,"031","843900",2,2009
3002789,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-10 17:04:00,"023XX W WASHINGTON BLVD",-87.685085,41.883011,"residence","residence",17,"031","837800",1,1018
3003055,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-10 23:55:00,"075XX S LANGLEY AVE",-87.607816,41.757649,"street","street",17,"031","691400",1,1006
3003133,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-11 01:45:00,"003XX N LOREL AVE",-87.758959,41.886368,"street","street",17,"031","251900",1,1002
3003182,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-11 03:30:00,"002XX S LARAMIE AVE",-87.754989,41.878245,"street","street",17,"031","252102",1,1000
3003183,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-11 03:39:00,"068XX S LAFAYETTE AVE",-87.6267,41.770215,"private vehicle","vehicle",17,"031","690300",1,1010
3003467,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-11 14:38:00,"077XX S KINGSTON AVE",-87.562655,41.754825,"street","street",17,"031","431301",2,2004
3003468,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-11 14:38:00,"009XX E 63RD ST",-87.601399,41.780463,"street","street",17,"031","420800",1,1000
3004365,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-12 17:21:00,"083XX S BAKER AVE",-87.549515,41.742883,"green space","open space",17,"031","460200",2,2004
3004744,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-13 04:58:00,"024XX S SAWYER AVE",-87.706351,41.847671,"street","street",17,"031","300800",2,2002
3006637,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-15 18:30:00,"063XX W FULLERTON AVE",-87.784527,41.923694,"green space","open space",17,"031","190601",2,2012
3006758,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-15 21:00:00,"049XX W HUBBARD ST",-87.74914,41.888657,"green space","open space",17,"031","251600",2,2013
3006877,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-16 00:17:00,"013XX N LOCKWOOD AVE",-87.758302,41.904323,"street","street",17,"031","250700",2,2004
3007620,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-17 04:43:00,"036XX N ST LOUIS AVE",-87.715192,41.947527,"street","street",17,"031","160800",3,3008
3007652,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-17 07:13:00,"039XX W CONGRESS PKWY",-87.724335,41.874371,"street","street",17,"031","260800",2,2015
3007897,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-17 14:30:00,"020XX W ARTHUR AVE",-87.680892,41.999696,"street","street",17,"031","020500",1,1002
3008010,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-17 17:23:00,"046XX N KOSTNER AVE",-87.738568,41.965249,"residence","residence",17,"031","160200",2,2002
3008011,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-17 17:23:00,"046XX N KOSTNER AVE",-87.738568,41.965249,"residence","residence",17,"031","160200",2,2002
3008399,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-18 01:20:00,"035XX W GRENSHAW ST",-87.713994,41.867262,"street","street",17,"031","843000",1,1025
3008459,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-18 03:17:00,"0000X W WACKER DR",-87.630189,41.886931,"street","street",17,"031","839100",1,1012
3008481,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-18 04:59:00,"074XX S EGGLESTON AVE",-87.635723,41.758903,"street","street",17,"031","681300",1,1018
3009096,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-19 00:01:00,"005XX N AVERS AVE",-87.722274,41.890359,"street","street",17,"031","231500",5,5016
3010607,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-20 23:40:00,"074XX N ROGERS AVE",-87.674129,42.016567,"street","street",17,"031","010202",1,1005
3011302,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-21 21:39:00,"059XX S STATE ST",-87.625501,41.786907,"private vehicle","vehicle",17,"031","834500",1,1015
3012591,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-23 16:48:00,"035XX N CENTRAL AVE",-87.766699,41.94428,"street","street",17,"031","151100",4,4007
3013494,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-24 18:45:00,"012XX S KOLIN AVE",-87.733708,41.865109,"street","street",17,"031","290900",4,4013
3013813,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-25 00:47:00,"049XX W HUBBARD ST",-87.749067,41.888659,"street","street",17,"031","251600",2,2013
3014550,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-25 23:22:00,"011XX E 73RD ST",-87.597621,41.762318,"street","street",17,"031","841800",2,2046
3014692,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-26 02:34:00,"006XX N AVERS AVE",-87.722329,41.892604,"private vehicle","vehicle",17,"031","231500",6,6032
3014693,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-26 02:34:00,"006XX N AVERS AVE",-87.722329,41.892604,"private vehicle","vehicle",17,"031","231500",6,6032
3014857,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-26 10:14:00,"081XX S MANISTEE AVE",-87.557674,41.747588,"street","street",17,"031","460302",4,4006
3015238,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-26 20:28:00,"028XX S KEELER AVE",-87.729289,41.83963,"street","street",17,"031","301803",2,2007
3016595,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-28 14:58:00,"016XX W VAN BUREN ST",-87.668276,41.876329,"street","street",17,"031","838100",3,3000
3017770,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-30 04:00:00,"003XX E 120TH ST",-87.616015,41.676299,"street","street",17,"031","530600",1,1006
3018463,"Chicago","09A","murder and nonnegligent manslaughter",2015-07-31 00:10:00,"089XX S HOUSTON AVE",-87.549942,41.733084,"street","street",17,"031","833900",1,1014
3020242,"Chicago","09A","murder and nonnegligent manslaughter",2015-08-02 01:38:00,"048XX W KAMERLING AVE",-87.746889,41.905073,"street","street",17,"031","831300",1,1028
3020380,"Chicago","09A","murder and nonnegligent manslaughter",2015-08-02 05:00:00,"117XX S LA SALLE ST",-87.626382,41.680888,"other open space","open space",17,"031","530200",1,1022
3020463,"Chicago","09A","murder and nonnegligent manslaughter",2015-08-02 09:40:00,"043XX S LAKE SHORE DR SB",-87.594914,41.81649,"green space","open space",17,"031","390100",1,1002
3020970,"Chicago","09A","murder and nonnegligent manslaughter",2015-08-03 00:01:00,"043XX S WOOD ST",-87.669997,41.815043,"street","street",17,"031","610300",1,1014
3021688,"Chicago","09A","murder and nonnegligent manslaughter",2015-08-04 00:01:00,"010XX W 14TH ST",-87.652462,41.863459,"vehicle parking","open space",17,"031","283800",2,2002
3022525,"Chicago","09A","murder and nonnegligent manslaughter",2015-08-05 06:55:00,"075XX S DAMEN AVE",-87.673322,41.756927,"street","street",17,"031","710400",5,5000
3023171,"Chicago","09A","murder and nonnegligent manslaughter",2015-08-05 23:49:00,"011XX N CENTRAL AVE",-87.765633,41.901558,"street","street",17,"031","251300",1,1000
3023252,"Chicago","09A","murder and nonnegligent manslaughter",2015-08-06 02:29:00,"013XX W 108TH PL",-87.655758,41.696746,"street","street",17,"031","750100",3,3025
3023735,"Chicago","09A","murder and nonnegligent manslaughter",2015-08-06 18:52:00,"109XX S PARNELL AVE",-87.636437,41.695616,"street","street",17,"031","491100",3,3007
3023780,"Chicago","09A","murder and nonnegligent manslaughter",2015-08-06 19:43:00,"109XX S PARNELL AVE",-87.636437,41.695616,"street","street",17,"031","491100",3,3007
3024046,"Chicago","09A","murder and nonnegligent manslaughter",2015-08-07 02:42:00,"001XX E 117TH ST",-87.6195,41.68157,"street","street",17,"031","530100",2,2002
3024779,"Chicago","09A","murder and nonnegligent manslaughter",2015-08-07 23:52:00,"064XX S JUSTINE ST",-87.662926,41.777216,"street","street",17,"031","671100",1,1011
3026341,"Chicago","09A","murder and nonnegligent manslaughter",2015-08-09 23:26:00,"015XX S KILDARE AVE",-87.732322,41.859777,"street","street",17,"031","290900",3,3016
3026729,"Chicago","09A","murder and nonnegligent manslaughter",2015-08-10 13:49:00,"012XX S ST LOUIS AVE",-87.712933,41.864663,"street","street",17,"031","291200",1,1003
3027170,"Chicago","09A","murder and nonnegligent manslaughter",2015-08-11 00:01:00,"032XX W 47TH ST",-87.705725,41.808098,"residence","residence",17,"031","580400",3,3002
3027913,"Chicago","09A","murder and nonnegligent manslaughter",2015-08-11 23:33:00,"007XX E 131ST ST",-87.60314,41.657216,"vehicle parking","open space",17,"031","540102",2,2012
3028758,"Chicago","09A","murder and nonnegligent manslaughter",2015-08-13 03:10:00,"002XX W 93RD PL",-87.630302,41.724959,"private vehicle","vehicle",17,"031","834000",1,1033
3029101,"Chicago","09A","murder and nonnegligent manslaughter",2015-08-13 15:42:00,"046XX S WESTERN AVE",-87.684442,41.808924,"street","street",17,"031","580800",1,1000
3029861,"Chicago","09A","murder and nonnegligent manslaughter",2015-08-14 15:20:00,"001XX W VAN BUREN ST",-87.633296,41.876857,"office","commercial",17,"031","839100",2,2018
3030310,"Chicago","09A","murder and nonnegligent manslaughter",2015-08-15 02:37:00,"003XX N CENTRAL PARK AVE",-87.716087,41.887474,"street","street",17,"031","836800",1,1003
